age,income,credit_score,loan_amount,debt_to_income_pct,num_dependents,years_employed,account_balance,num_prev_loans,monthly_expenses,gender,employment_status,education_level,loan_purpose,region,marital_status,application_year,loan_duration_months,application_date,loan_default
56,69802.6,524,8435.48,33.88,2.0,3.3,12409.59,4,16810.12,Female,Full-Time,,Home,East,Married,2019,60,2019-11-03,1
69,109829.81,719,9445.88,27.06,5.0,6.8,4974.82,7,24169.97,Female,Full-Time,PhD,Medical,East,Married,2016,84,2016-09-25,0
35,105193.28,732,4923.89,14.16,6.0,8.2,39784.79,3,,Male,Self-Employed,Bachelor,Personal,Central,,2018,60,2018-07-27,0
67,23380.04,792,13121.1,59.39,6.0,2.9,1666.17,9,5171.21,Male,Retired,Bachelor,Car,South,,2019,36,2019-03-21,1
33,13220.6,682,60806.14,29.13,0.0,6.2,29218.61,4,4512.66,Female,Full-Time,Bachelor,Home,North,,2022,48,2022-12-05,0
42,55334.41,581,19333.0,23.45,4.0,6.0,4467.94,4,16787.6,Female,Full-Time,Bachelor,Education,North,Single,2024,60,2024-02-08,1
57,36022.58,684,9488.91,12.18,0.0,9.0,1753.62,2,14289.91,Female,Part-Time,Master,Personal,North,Married,2011,24,2011-04-20,0
40,42239.83,560,12376.22,63.38,3.0,0.7,4012.85,3,7316.2,Female,Full-Time,Bachelor,Car,South,Single,2017,60,2017-10-26,1
48,22285.3,654,14726.26,13.51,2.0,6.2,28306.87,6,4273.75,Female,Retired,Master,Car,East,Divorced,2015,24,2015-02-24,0
60,57641.26,731,17421.45,14.87,2.0,8.0,3925.37,3,11894.47,Non-Binary,Full-Time,Bachelor,Home,South,Married,2018,48,2018-11-07,1
63,49452.24,697,24012.46,38.79,0.0,6.1,13011.23,8,13512.31,Female,Full-Time,High School,Personal,East,Married,2022,24,2022-08-17,1
71,103750.65,709,5332.47,24.93,,5.6,2924.06,9,39398.37,Male,Self-Employed,High School,Personal,West,Single,2022,48,2022-12-06,0
29,72621.3,599,13745.92,18.32,3.0,,7385.05,4,15859.54,Female,Full-Time,High School,Education,East,Married,2013,36,2013-12-27,0
66,28503.32,699,15996.62,22.76,5.0,3.2,2760.41,9,6802.73,Male,Full-Time,High School,Car,South,,2020,48,2020-09-11,0
26,40612.91,749,10896.19,48.15,0.0,3.1,1600.56,0,13434.03,Male,Part-Time,Master,Education,South,Single,2019,36,2019-06-13,1
28,35623.78,603,4106.43,57.36,3.0,6.0,31852.14,2,11340.04,Female,Full-Time,High School,Education,West,,2020,48,2020-10-09,1
42,25930.29,668,125893.23,43.24,6.0,1.1,4725.93,0,5397.23,Female,Retired,High School,Education,Central,Married,2024,12,2024-07-06,1
73,28767.36,601,12702.46,12.25,6.0,1.9,3000.02,0,,Male,Full-Time,Bachelor,Education,East,Married,2018,36,2018-10-20,0
32,141224.3,523,18654.26,28.95,0.0,8.7,52235.3,9,45274.71,Male,Full-Time,High School,Home,Central,Married,2021,84,2021-10-27,1
39,35249.96,641,2628.9,23.61,6.0,,13436.14,4,7510.73,Male,Full-Time,PhD,Home,East,Single,2014,12,2014-08-19,0
50,66490.28,656,5675.75,6.71,3.0,11.0,1474.55,4,16706.19,Male,Self-Employed,High School,Business,West,Married,2013,60,2013-07-24,0
53,30468.22,631,6458.33,35.18,1.0,0.8,5738.62,9,5430.06,Female,Full-Time,Bachelor,Personal,Central,Single,2016,24,2016-12-11,0
32,51549.26,619,12604.55,44.52,5.0,2.6,974.55,1,9822.9,Non-Binary,Retired,Master,Education,East,Married,2020,60,2020-10-25,1
49,320374.31,706,33165.61,45.18,4.0,1.8,2955.01,4,75327.99,Male,Full-Time,,Car,Central,Married,2017,60,2017-12-24,1
51,36438.5,621,20554.82,40.82,6.0,3.6,12581.72,9,10522.75,Male,Full-Time,Bachelor,Car,Central,Single,2014,60,2014-04-27,1
62,41697.35,718,7621.47,65.69,4.0,3.4,3789.55,4,15218.77,Female,Unemployed,Bachelor,Home,West,Married,2012,60,2012-06-09,1
68,37788.27,715,4658.22,18.01,0.0,0.8,16149.27,8,14332.82,Female,Part-Time,Bachelor,Home,North,Married,2016,36,2016-07-09,1
29,147190.06,650,10713.36,20.46,5.0,5.6,2128.3,7,44416.03,Male,Full-Time,Bachelor,Business,Central,Married,2017,48,2017-03-24,0
27,23772.73,634,34140.74,22.36,5.0,2.7,1601.49,6,6078.64,Male,Retired,,Car,Central,Married,2014,60,2014-04-28,1
74,26788.1,570,8407.56,7.29,6.0,4.0,2004.15,4,7185.71,Female,Unemployed,Master,Education,Central,Married,2016,36,2016-08-25,1
26,14712.01,722,17727.84,17.3,1.0,4.2,23387.53,9,4766.8,Male,Unemployed,Bachelor,Car,East,Divorced,2020,36,2020-04-27,0
67,31322.33,600,7243.75,51.7,2.0,15.9,,7,9937.3,Male,Full-Time,Master,Business,Central,Divorced,2010,84,2010-04-17,1
56,147563.55,619,16626.12,23.33,0.0,1.8,187.76,9,40568.51,Female,Part-Time,PhD,Personal,South,Married,2021,36,2021-03-04,1
67,51477.85,726,33913.52,16.23,2.0,2.9,2471.45,3,19990.97,Female,Retired,Bachelor,Personal,North,Divorced,2020,48,2020-04-23,0
51,123864.23,613,4580.82,13.14,,1.0,6052.36,1,30645.24,Female,Full-Time,Bachelor,Education,North,Married,2018,60,2018-06-08,0
19,108427.35,779,29582.55,12.03,1.0,0.1,4980.35,5,36784.35,Female,Self-Employed,Master,Car,East,Married,2010,48,2010-11-06,0
34,65872.81,514,93831.76,44.01,2.0,1.9,2154.44,2,16362.92,Female,Full-Time,Bachelor,Car,South,Married,2018,36,2018-11-13,1
23,26678.57,614,15529.57,31.43,5.0,8.3,438.65,0,4449.06,Male,Retired,Master,Home,South,Married,2017,36,2017-11-15,0
70,37890.36,618,90509.68,32.49,,0.1,26508.76,9,9596.56,Female,Retired,Bachelor,Education,South,Single,2018,48,2018-01-26,0
60,80501.76,657,41362.25,16.46,1.0,1.3,840.47,0,16362.7,Female,Unemployed,Bachelor,Home,Central,Single,2022,36,2022-06-13,0
18,15408.11,683,2076.76,47.95,6.0,9.6,9738.39,0,4324.36,Female,Self-Employed,High School,Home,North,Divorced,2018,36,2018-06-22,0
56,31432.17,450,5659.48,34.71,0.0,1.7,2820.22,2,10231.84,Female,Retired,High School,Personal,East,Single,2018,36,2018-10-19,1
66,17529.89,578,7557.77,15.64,4.0,7.8,988.61,3,4762.71,Female,Full-Time,Master,Medical,South,,2020,48,2020-03-11,1
56,42968.2,595,13400.2,4.31,4.0,0.1,4038.07,5,7465.65,Male,Full-Time,Bachelor,Personal,Central,Single,2016,36,2016-12-05,0
23,,641,8606.15,59.02,4.0,12.8,5034.72,9,46443.14,Male,Full-Time,Bachelor,Education,North,Married,2024,60,2024-09-26,1
44,162672.32,685,4890.75,44.69,2.0,0.0,34010.59,8,35711.56,Male,Part-Time,PhD,Medical,Central,Single,2019,60,2019-11-09,1
24,76682.54,512,8413.59,17.69,5.0,2.5,,5,13183.33,Male,Unemployed,,Home,South,Single,2019,24,2019-08-16,1
74,43749.09,652,8116.94,17.89,4.0,4.0,1414.91,4,7840.82,Female,Self-Employed,High School,Education,West,,2024,12,2024-09-09,0
59,65459.47,750,69201.03,30.05,0.0,,8207.08,4,12602.54,Female,Full-Time,Bachelor,Car,West,Married,2014,84,2014-12-08,0
36,74158.05,759,5081.69,23.06,5.0,4.8,5727.28,9,20816.08,Male,Full-Time,Bachelor,Medical,South,Married,2013,60,2013-02-13,0
40,28449.43,679,4623.03,53.34,4.0,12.1,,5,4778.47,Female,Retired,Bachelor,Car,South,Divorced,2023,48,2023-02-09,0
71,103866.88,492,7103.66,20.98,2.0,4.3,6692.59,5,26165.59,Male,Full-Time,,Education,Central,Single,2013,36,2013-06-22,0
29,24041.06,659,44546.52,1.0,1.0,1.5,8006.97,9,4805.78,Female,Unemployed,High School,Personal,South,,2013,84,2013-05-21,1
61,48434.04,646,6385.99,19.05,1.0,,3228.53,0,9175.92,Male,Self-Employed,,Car,South,Single,2015,24,2015-08-05,0
47,92443.52,777,11314.1,20.31,4.0,0.7,1809.04,5,15654.1,Male,Full-Time,Bachelor,Medical,East,Divorced,2016,36,2016-11-04,0
53,269725.67,641,4948.72,37.77,0.0,3.6,1378.62,9,49667.9,Female,Unemployed,Master,Home,North,Divorced,2014,36,2014-09-09,1
38,100253.14,643,26728.03,28.08,1.0,3.4,6953.61,3,17444.68,Female,Full-Time,Master,Education,South,Divorced,2022,48,2022-10-28,0
57,44689.17,623,10659.22,21.05,1.0,8.3,,5,8864.29,Male,Full-Time,,Car,South,Divorced,2016,24,2016-02-03,0
32,91584.67,651,7098.67,24.47,1.0,4.6,8896.13,2,16804.77,Male,Retired,Master,Medical,Central,Single,2021,36,2021-04-26,0
44,44022.69,683,6225.66,45.8,3.0,9.2,41939.59,1,8717.86,Male,Self-Employed,Bachelor,Medical,South,Divorced,2021,36,2021-01-12,0
33,47204.32,477,6086.68,6.79,0.0,2.3,21736.42,8,10637.46,Male,Part-Time,Bachelor,Medical,East,,2015,36,2015-07-25,1
41,55731.0,640,28916.57,29.56,2.0,,728.6,5,15112.41,Female,Full-Time,Master,Business,Central,Married,2015,48,2015-06-02,0
71,78626.8,494,11581.06,16.87,3.0,12.1,5071.92,8,16951.43,Female,Unemployed,Bachelor,Home,South,Married,2017,60,2017-10-06,1
63,31193.5,693,11023.24,29.88,2.0,3.4,27405.41,9,6266.71,Male,Part-Time,Master,Medical,Central,Single,2024,84,2024-08-16,0
64,162737.98,598,42167.23,13.76,5.0,9.2,3503.6,9,33706.49,Male,Unemployed,Bachelor,Home,South,Married,2014,36,2014-02-28,0
34,85139.6,524,36142.11,6.28,1.0,0.4,9994.02,5,14307.82,Male,Full-Time,High School,Home,Central,Married,2021,60,2021-02-21,1
45,71892.43,685,21962.84,15.5,0.0,1.9,17547.5,3,,Male,Part-Time,Master,Medical,Central,Single,2015,60,2015-07-15,0
59,,644,2904.47,77.06,2.0,8.5,10462.88,3,21030.74,Female,Part-Time,High School,Personal,Central,Married,2014,48,2014-08-11,0
36,63858.64,514,26004.61,15.13,0.0,2.3,1884.63,7,,Female,Self-Employed,Bachelor,Medical,South,Married,2019,36,2019-06-26,1
50,26812.54,670,57979.01,15.05,6.0,4.7,6185.77,2,5846.06,Non-Binary,Full-Time,High School,Home,West,Widowed,2011,48,2011-10-04,1
18,39034.49,515,6463.36,60.76,3.0,2.7,16583.05,0,10795.88,Male,Part-Time,Bachelor,Medical,West,Single,2018,36,2018-06-11,1
